ID,PART.1,PART.2,TIMESTAMP,LEGO,ANIMALS,WHICH_LEGO,LANGUAGE,NOTES,KNOWN,TALK_ORDER,LEGO_ORDER,GHOST_ORDER,GAZE_ORDER,ANIMALS_ORDER,ANIMAL_PART.1,ANIMAL_PART.2,FATIGUE_BEFORE_PART.1,FATIGUE_BEFORE_PART.2,FATIGUE_AFTER_PART.1,FATIGUE_AFTER_PART.2,PEQPN_GOOD_BEFORE_PART.1,PEQPN_GOOD_BEFORE_PART.2,PEQPN_BAD_BEFORE_PART.1,PEQPN_BAD_BEFORE_PART.2,PEQPN_HAPPY_BEFORE_PART.1,PEQPN_HAPPY_BEFORE_PART.2,PEQPN_SAD_BEFORE_PART.1,PEQPN_SAD_BEFORE_PART.2,PEQPN_FRIENDLY_BEFORE_PART.1,PEQPN_FRIENDLY_BEFORE_PART.2,PEQPN_UNFRIENDLY_BEFORE_PART.1,PEQPN_UNFRIENDLY_BEFORE_PART.2,PEQPN_TENSE_BEFORE_PART.1,PEQPN_TENSE_BEFORE_PART.2,PEQPN_RELAXED_BEFORE_PART.1,PEQPN_RELAXED_BEFORE_PART.2,PEQPN_GOOD_AFTER_PART.1,PEQPN_GOOD_AFTER_PART.2,PEQPN_BAD_AFTER_PART.1,PEQPN_BAD_AFTER_PART.2,PEQPN_HAPPY_AFTER_PART.1,PEQPN_HAPPY_AFTER_PART.2,PEQPN_SAD_AFTER_PART.1,PEQPN_SAD_AFTER_PART.2,PEQPN_FRIENDLY_AFTER_PART.1,PEQPN_FRIENDLY_AFTER_PART.2,PEQPN_UNFRIENDLY_AFTER_PART.1,PEQPN_UNFRIENDLY_AFTER_PART.2,PEQPN_TENSE_AFTER_PART.1,PEQPN_TENSE_AFTER_PART.2,PEQPN_RELAXED_AFTER_PART.1,PEQPN_RELAXED_AFTER_PART.2
009106,9,106,2019-05-13 18:40:00,2,3,Happy Tree,Spanish,,False,1,4,3,5,2,Albatross,Peacock,4,8,4,7,4,3,1,4,4,3,1,4,4,3,1,4,2,3,4,3,5,4,1,1,4,3,1,4,4,4,1,1,2,1,3,1
092107,107,92,2019-05-13 20:26:00,1,2,Valentine's Rose,English,,False,1,3,2,5,4,Fox,Rhino,2,5,2,3,3,4,2,2,2,3,1,1,2,4,3,2,4,2,3,3,5,4,1,1,4,4,1,1,4,3,2,2,2,3,4,4
139140,140,139,2019-05-16 17:15:00,3,2,Propeller Plane,Spanish,,True,1,2,3,5,4,Rhino,Goat,5,2,5,2,3,4,2,2,3,3,4,2,4,4,2,2,1,3,4,3,4,5,2,1,4,5,2,1,4,4,2,1,3,2,3,3
015126,15,126,2019-05-16 18:10:00,3,2,Racing Car,Catalan,*Some sentences in spanish,True,1,4,2,5,3,Seal,Deer,7,3,8,4,4,4,3,3,3,3,2,4,5,5,3,1,4,2,2,4,4,5,2,3,4,4,2,3,5,4,4,2,3,1,4,4
015133,133,15,2019-05-16 19:13:00,1,2,Valentine's Rose,Spanish,*They start out in spanish then swich to catalan,False,1,4,3,5,2,Fox,Squirell,7,8,7,7,3,4,3,2,2,4,3,2,2,5,3,4,4,3,2,4,4,4,2,2,4,4,2,3,3,5,2,4,3,3,4,3
112132,132,112,2019-05-18 09:47:00,3,2,Racing Car,Spanish,,False,1,3,4,5,2,Deer,Rhino,5,3,3,2,4,5,2,2,2,4,2,2,3,4,4,1,2,2,3,4,4,4,2,2,3,4,3,1,4,4,2,1,2,2,3,4
113132,113,132,2019-05-18 10:37:00,2,2,Happy Tree,Spanish,,False,1,2,4,5,3,Koala,Squirell,7,3,5,3,4,4,2,2,3,3,2,3,3,4,1,2,2,2,3,3,4,4,2,2,4,3,2,3,4,4,2,2,2,2,4,3
112113,112,113,2019-05-18 11:20:00,1,1,Mill,Catalan,,True,1,4,2,5,3,Zebra,Turtle,5,2,5,2,4,4,2,2,2,4,2,1,4,4,2,1,3,2,3,4,4,4,2,1,4,4,2,1,4,4,2,1,3,2,3,4
041083,83,41,2019-05-20 17:38:00,2,3,Whatever 2,Spanish,,True,1,4,3,5,2,Pelican,Flamingo,5,7,6,7,5,3,1,3,4,2,1,4,4,4,1,1,3,3,3,2,4,4,1,2,4,4,1,2,4,4,1,2,1,2,5,4
042084,84,42,2019-05-20 18:42:00,1,2,Valentine's Rose,Spanish,,True,1,4,2,5,3,Panda,Goat,8,7,8,5,1,1,5,4,1,1,5,4,1,4,5,1,5,3,1,3,1,4,5,2,1,4,5,2,1,4,5,2,5,4,1,3
041084,41,84,2019-05-20 19:44:00,3,3,Propeller Plane,Spanish,,True,1,3,4,5,2,Hippopotamus,Turtle,8,8,8,8,3,1,3,5,3,1,2,5,3,1,2,5,2,5,2,1,3,1,3,5,2,1,3,5,2,1,3,5,4,5,2,1
042092,42,92,2019-05-20 20:29:00,2,1,Locomotive,Spanish,,False,1,4,2,5,3,Swallow,Donkey,5,6,5,6,2,4,4,1,2,4,4,1,4,3,2,1,5,1,1,5,4,4,2,1,4,4,2,1,4,3,2,1,2,1,2,4
079142,79,142,2019-05-23 17:58:00,2,2,Minicar,Spanish,,True,1,3,4,5,2,Owl,Leopard,3,7,3,7,4,2,2,2,4,3,2,3,4,4,2,2,2,2,3,3,4,4,2,2,4,4,2,2,4,4,2,2,3,3,3,3
097098,98,97,2019-05-23 19:05:00,1,2,THTJB,Catalan,,True,1,4,3,5,2,Seal,Chameleon,1,4,1,4,4,5,4,1,3,5,2,1,3,3,1,1,1,1,4,5,5,5,1,1,5,5,1,1,5,4,1,1,1,1,5,5
098126,126,98,2019-05-23 20:04:00,3,3,Propeller Plane,Catalan,,False,1,2,3,5,4,Peacock,Hedgehog,6,1,5,1,2,5,3,1,3,5,4,1,3,5,2,1,3,1,3,5,4,5,3,1,3,5,2,1,3,5,2,1,2,1,4,5
097142,97,142,2019-05-23 20:53:00,3,2,Racing Car,Catalan,,False,1,3,4,5,2,Fox,Rhino,4,6,4,6,5,4,1,1,5,4,1,1,4,4,1,1,1,2,5,3,5,4,1,2,5,4,1,2,5,4,1,2,1,2,5,3
076122,122,76,2019-06-08 12:37:00,2,2,Happy Tree,Spanish,,False,1,4,2,5,3,Koala,Goat,3,2,4,2,4,4,1,1,3,3,1,1,4,3,1,1,1,2,5,4,4,4,1,1,4,3,1,1,4,3,1,1,1,2,5,3
122144,122,144,2019-06-08 13:16:00,2,3,Locomotive,Spanish,,False,1,3,2,5,4,Gibbon,Toucan,5,5,6,7,5,5,1,1,5,4,1,1,4,3,1,1,1,3,5,3,5,5,1,1,5,4,1,1,4,4,1,1,1,5,5,2
013041,13,41,2019-06-11 16:29:00,1,2,Whatever 1,Spanish,,False,1,4,2,5,3,Owl,Rhino,5,7,3,6,3,3,3,2,3,3,4,3,3,4,3,2,4,3,3,3,4,3,1,2,4,3,3,2,4,3,1,2,3,3,4,3
005013,5,13,2019-06-11 17:35:00,3,3,Racing Car,Spanish,,False,1,2,3,5,4,Albatross,Crow,6,3,5,2,3,4,3,2,3,3,3,3,3,4,3,3,4,3,2,5,4,4,2,1,3,3,2,2,3,4,3,2,4,1,3,5
003005,3,5,2019-06-11 18:42:00,2,2,Free Cow,Spanish,,True,1,3,2,5,4,Leopard,Panda,4,6,5,5,4,3,2,3,3,3,3,3,4,3,2,3,3,3,3,3,5,4,1,2,5,3,1,3,4,3,2,2,3,3,3,3
002003,2,3,2019-06-11 19:46:00,3,3,Propeller Plane,Spanish,,True,1,4,3,5,2,Bison,Swallow,7,5,7,6,4,5,2,1,4,5,2,1,4,4,2,2,4,3,2,4,4,5,2,1,4,5,2,1,4,5,2,1,2,1,4,5
005134,5,134,2019-06-11 20:45:00,2,2,Locomotive,Spanish,,False,1,4,3,5,2,Seal,Chameleon,5,9,5,9,3,4,3,2,3,4,3,2,3,4,3,2,3,2,3,3,3,4,3,2,3,4,3,2,3,4,3,2,3,2,3,4
020150,150,20,2019-06-14 16:38:00,1,2,Whatever 1,Spanish,,True,1,4,3,5,2,Leopard,Squirell,7,6,7,5,4,4,2,2,4,4,2,2,4,4,2,2,3,3,3,4,4,4,2,1,4,4,2,2,4,4,2,2,2,2,4,4
017150,17,150,2019-06-14 18:47:00,3,2,Racing Car,Spanish,,True,1,4,2,5,3,Rhino,Chameleon,2,7,2,8,5,4,1,2,4,4,2,2,4,4,1,2,2,3,5,3,5,4,1,2,4,4,1,2,4,4,1,2,1,2,4,4
020149,20,149,2019-06-14 19:28:00,1,3,Whatever 2,Spanish,,False,1,3,2,5,4,Swan,Bison,7,6,6,6,4,4,2,2,3,4,2,2,4,4,1,2,2,3,4,4,4,4,2,2,4,4,1,2,4,4,2,2,2,2,4,4
017149,149,17,2019-06-14 20:47:00,2,1,Minicar,Spanish,,False,1,4,2,5,3,Donkey,Eagle,6,2,7,3,4,4,2,2,4,4,2,1,4,4,1,1,2,2,4,4,4,4,2,2,4,4,2,1,4,4,2,1,2,1,4,4
051076,76,51,2019-06-15 10:34:00,2,2,Minicar,Spanish,,True,1,4,2,5,3,Panda,Koala,3,3,3,3,3,4,3,2,3,4,3,2,3,4,3,2,3,1,3,5,3,4,3,2,3,4,3,2,3,5,3,2,3,1,3,5
044156,156,44,2019-06-18 17:03:00,1,3,Sheep + Yellow Flower,Spanish,,False,1,4,3,5,2,Gibbon,Hippopotamus,4,3,3,3,3,4,1,2,1,3,1,2,3,4,2,2,2,2,3,4,5,4,1,2,4,3,2,2,4,4,2,2,2,2,3,4
043152,43,152,2019-06-18 17:50:00,2,1,Free Cow,English,,False,1,2,4,5,3,Bear,Eagle,4,6,3,4,5,4,1,1,4,3,1,3,4,4,1,1,1,1,4,4,5,4,1,1,4,4,1,1,4,5,1,1,1,4,5,2
152153,152,153,2019-06-18 18:57:00,3,2,Propeller Plane,English,,True,1,4,2,5,3,Rhino,Chameleon,3,6,1,7,4,4,1,1,3,4,1,1,5,5,1,1,1,3,4,3,5,5,1,1,5,4,1,1,4,5,1,1,1,2,4,4
006007,7,6,2019-06-18 19:43:00,3,3,Racing Car,English,,True,1,2,3,5,4,Anteater,Pelican,7,7,6,7,2,3,3,3,2,3,3,3,4,4,2,2,4,3,2,4,4,3,1,2,4,3,2,3,5,4,1,4,2,2,4,3
006153,153,6,2019-06-18 21:05:00,1,2,Mill,English,,False,1,3,2,5,4,Squirell,Owl,6,7,7,8,4,3,1,2,4,3,1,2,5,4,1,2,3,2,4,4,5,3,1,3,5,3,1,3,5,3,1,3,1,3,4,4
020025,20,25,2019-06-22 10:38:00,1,3,Pencil & Sharpenner + Boat,Spanish,,False,1,2,3,5,4,Anteater,Peacock,3,2,3,2,5,5,1,1,4,4,2,1,4,4,1,1,2,2,4,4,4,5,2,1,4,5,2,1,5,4,1,1,1,1,5,5
018025,25,18,2019-06-22 12:15:00,2,3,Free Cow,Spanish,,False,1,3,4,5,2,Pelican,Hippopotamus,2,8,2,8,4,4,1,2,4,3,1,2,4,4,2,2,1,2,4,4,5,5,1,1,4,5,1,1,4,5,1,1,1,1,5,4
018020,18,20,2019-06-22 13:15:00,1,1,THTJB,Spanish,,True,1,4,2,5,3,Elephant,Frog,7,6,7,6,5,4,1,2,5,3,1,2,5,3,1,2,1,1,5,4,5,4,1,2,5,4,1,2,5,4,1,1,1,2,5,4
027076,27,76,2019-06-25 18:43:00,1,1,Boat + Sheep,Spanish,,False,1,3,2,5,4,Tiger,Zebra,7,6,5,3,3,3,2,2,3,3,3,2,4,3,1,2,2,3,4,3,4,4,1,1,4,3,2,2,5,4,1,2,2,2,4,4
027113,113,27,2019-06-25 19:43:00,2,1,Locomotive,Spanish,,False,1,4,3,5,2,Dolphin,Camel,5,5,5,5,5,4,1,2,4,4,1,2,4,5,2,2,2,1,3,4,5,4,1,2,4,4,2,2,3,4,3,2,2,2,3,4
004115,4,115,2019-06-26 11:03:00,1,1,Whatever 1,Spanish,,False,1,4,3,5,2,Dolphin,Crocodile,3,4,3,5,4,4,1,2,4,4,1,2,4,4,1,2,2,3,4,3,5,3,1,3,5,4,1,3,5,3,1,2,2,4,4,2
004096,96,4,2019-06-26 11:58:00,1,3,Pencil & Sharpenner + Boat,Spanish,,False,1,2,4,5,3,Swan,Toucan,2,3,2,3,5,4,1,1,4,4,1,1,5,4,1,1,1,2,5,4,5,4,1,1,4,4,1,1,5,4,1,1,2,2,4,4
092096,92,96,2019-06-26 12:59:00,1,3,Mill,Spanish,,True,1,2,3,5,4,Anteater,Hippopotamus,6,2,5,2,4,5,2,1,4,4,2,1,3,5,2,1,2,1,4,5,4,5,2,1,4,4,2,1,4,5,2,1,3,2,4,4
106108,108,106,2019-06-27 10:48:00,1,1,Sheep + Yellow Flower,Spanish,,False,1,3,4,5,2,Gibbon,Pelican,4,1,2,1,4,4,2,1,2,4,2,2,2,3,4,3,4,2,2,3,3,4,2,1,4,4,1,2,4,4,3,2,2,2,2,3
092108,92,108,2019-06-27 11:36:00,2,1,Happy Tree,Spanish,,True,1,3,2,5,4,Dolphin,Camel,6,2,6,2,4,4,2,2,4,4,1,2,4,3,2,3,2,2,4,2,4,4,2,3,4,4,2,2,4,4,1,3,1,2,5,2
076143,76,143,2019-06-27 12:53:00,1,3,Whatever 1,English,,True,1,4,2,5,3,Pelican,Bison,3,2,2,4,3,4,3,2,3,4,3,2,3,4,3,2,3,3,3,3,4,4,2,2,3,4,2,2,3,4,2,2,2,3,4,3
020090,20,90,2019-06-27 16:26:00,3,3,Propeller Plane,Spanish,,False,1,3,2,5,4,Crow,Hedgehog,7,4,6,4,3,4,2,2,3,4,2,2,3,4,3,2,2,4,2,3,4,2,2,2,4,4,2,2,4,4,2,2,2,2,4,4
040090,90,40,2019-06-27 17:29:00,1,3,Boat + Sheep,Catalan,,True,1,3,2,5,4,Peacock,Albatross,6,3,7,2,4,5,2,1,3,4,2,2,4,4,2,2,2,3,3,3,4,4,2,2,4,5,2,1,4,4,2,1,2,2,4,4
035040,40,35,2019-06-27 18:31:00,1,1,THTJB,Spanish,,False,1,2,3,5,4,Eagle,Zebra,2,1,2,1,4,5,2,1,4,4,2,1,5,4,1,1,2,1,4,5,4,5,2,1,5,4,1,1,4,4,2,1,1,1,5,4
034133,34,133,2019-06-27 19:20:00,1,2,Whatever 2,Spanish,,False,1,4,2,5,3,Koala,Owl,2,6,2,6,4,4,1,2,3,3,3,2,4,3,1,2,1,2,4,3,4,4,1,2,5,4,1,2,5,4,1,2,3,2,4,4
034035,35,34,2019-06-27 20:16:00,1,1,Pencil & Sharpenner + Yellow Flower,Spanish,,True,1,3,2,5,4,Donkey,Frog,1,2,1,1,5,4,1,1,4,4,1,1,4,5,1,1,1,3,5,4,5,4,1,1,4,4,1,1,4,5,1,1,1,2,4,4
025157,157,25,2019-06-29 13:21:00,2,3,Valentine's Rose + Whatever 1 + Locomotive,Spanish,,True,1,4,2,5,3,Swan,Crow,4,2,4,1,4,3,1,1,3,3,1,1,5,4,1,1,3,1,3,5,4,4,2,1,3,4,2,1,5,4,5,1,3,1,2,5
025044,44,25,2019-06-29 16:25:00,3,3,Racing Car,Spanish,25 pre-session incomplete,False,1,3,4,5,2,Hippopotamus,Hedgehog,6,7,8,8,4,4,1,1,4,4,2,1,4,4,2,1,2,1,4,4,4,4,2,1,4,4,1,1,4,4,2,1,2,1,4,4
044157,44,157,2019-06-29 18:35:00,2,3,Minicar,Spanish,,False,1,4,2,5,3,Toucan,Gibbon,9,5,9,4,4,3,2,2,4,3,2,1,4,5,2,1,2,3,4,3,4,4,2,1,4,4,2,1,4,5,2,1,2,3,4,3
148151,151,148,2019-07-04 09:43:00,3,3,Mansion,Spanish,,True,1,4,3,5,2,Bison,Flamingo,6,3,4,3,3,5,1,1,2,4,2,1,4,4,2,1,2,1,3,4,3,5,3,1,2,4,2,1,3,4,2,1,4,2,2,4
043079,43,79,2019-07-04 10:45:00,1,3,Valentine's Rose,Spanish,,False,1,3,2,5,4,Swallow,Anteater,3,6,3,3,5,4,1,3,4,3,1,3,4,4,2,3,1,4,5,3,5,4,1,2,4,4,1,2,4,4,2,2,1,2,5,4
106148,148,106,2019-07-04 11:28:00,1,1,Pencil & Sharpenner + Boat,Spanish,,False,1,2,4,5,3,Elephant,Donkey,3,1,3,1,4,4,2,2,5,4,1,2,4,4,1,2,2,2,4,3,4,4,2,2,5,4,1,2,4,4,1,2,2,2,4,3
043143,143,43,2019-07-04 12:11:00,3,2,Racing Car,English,,False,1,3,4,5,2,Chameleon,Koala,3,3,3,3,4,5,2,1,4,4,2,1,4,4,2,1,2,1,4,5,4,5,2,1,4,4,2,1,4,4,2,1,4,1,2,5
118154,118,154,2019-07-04 17:17:00,3,1,Mansion,Catalan,,False,1,2,3,5,4,Frog,Crocodile,1,5,1,4,5,4,1,2,5,3,1,2,4,3,2,2,1,2,4,3,5,4,1,2,5,4,1,2,5,3,1,2,1,2,5,4
027154,154,27,2019-07-04 18:21:00,2,2,Whatever 2,Spanish,,False,1,2,3,5,4,Chameleon,Squirell,3,7,3,5,4,4,2,2,4,3,2,2,3,3,2,2,2,2,4,4,4,4,2,2,4,4,2,2,4,4,2,2,2,2,4,4
027118,27,118,2019-07-04 19:13:00,1,2,Pencil & Sharpenner + Yellow Flower + Sheep + Propeller Plane,Spanish,,False,1,3,2,5,4,Koala,Leopard,5,5,5,6,4,4,2,2,4,4,2,2,4,4,2,2,2,1,4,5,4,4,2,2,4,4,2,2,4,4,2,2,2,2,4,4
017027,27,17,2019-07-04 20:13:00,2,3,THTJB + Valentine's Rose,Spanish,,False,1,2,3,5,4,Peacock,Anteater,6,6,6,6,4,4,2,2,3,3,2,2,4,4,2,2,3,2,4,4,4,4,2,2,3,4,2,2,4,4,2,2,3,2,3,4
010011,10,11,2019-07-05 10:03:00,3,3,Mansion,Spanish,,True,1,3,4,5,2,Hedgehog,Crow,1,8,2,8,4,4,2,2,4,4,2,2,3,4,2,2,2,3,4,3,4,3,2,2,4,3,2,2,4,4,2,2,2,3,4,3
010034,34,10,2019-07-05 11:10:00,2,1,THTJB + Mill,Spanish,,False,1,3,4,5,2,Zebra,Tiger,2,2,1,3,4,4,1,2,3,4,3,2,4,4,1,1,2,1,4,4,4,4,1,2,4,3,1,2,4,4,1,2,3,2,4,4
011034,11,34,2019-07-05 11:57:00,3,2,Propeller Plane + Sheep,Spanish,,False,1,3,2,5,4,Panda,Fox,9,1,8,3,3,4,2,1,3,4,2,1,4,4,2,1,2,3,3,4,4,4,2,1,3,4,2,1,4,4,2,1,2,3,3,4
034121,121,34,2019-07-05 13:18:00,3,1,Mansion,Spanish,,False,1,4,2,5,3,Camel,Turtle,3,3,4,3,4,4,1,1,4,4,1,1,4,4,1,1,2,3,4,4,5,4,1,1,5,4,1,1,4,4,1,1,1,3,5,4
035166,35,166,2019-07-05 16:30:00,2,2,Happy Tree + Whatever 1,Spanish,,False,1,3,2,5,4,Owl,Seal,2,1,1,1,5,5,1,2,4,4,1,2,5,5,1,1,1,2,5,5,5,4,1,2,4,5,1,2,5,4,1,2,1,2,5,2
114166,166,114,2019-07-05 17:31:00,3,1,Mansion,Spanish,"166 didn't fill presession, so used presession of previous session",True,1,4,2,5,3,Dolphin,Bear,1,6,3,2,5,4,2,2,4,3,2,2,5,3,1,2,2,4,5,3,4,5,2,1,4,5,1,1,4,4,2,1,4,2,2,4
035114,114,35,2019-07-05 18:26:00,2,3,Pencil & Sharpenner + Boat + Mill,Spanish,,False,1,4,2,5,3,Albatross,Bison,3,1,4,1,4,5,1,1,3,4,1,1,4,4,1,1,2,1,4,5,4,5,1,1,4,4,2,1,5,5,2,1,1,1,4,5
009167,9,167,2019-07-09 18:30:00,3,2,Lighthouse + Boat,Spanish,,False,1,4,3,5,2,Leopard,Owl,5,5,7,4,3,4,2,1,4,4,3,1,4,4,1,1,2,1,4,4,4,5,2,1,3,5,2,1,4,5,1,1,2,1,4,5
167168,167,168,2019-07-09 19:29:00,3,3,Mansion + Pencil & Sharpenner,Spanish,,True,1,3,2,5,4,Peacock,Swan,4,5,5,5,5,4,1,2,5,4,1,2,5,4,1,2,1,2,5,4,4,5,2,1,4,5,2,1,4,5,2,1,2,1,4,5
092168,168,92,2019-07-09 20:27:00,2,1,Whatever 1 + Yellow Flower,Spanish,"168 didn't fill presession, so used presession of previous session",False,1,4,2,5,3,Hippopotamus,Flamingo,5,7,5,5,4,4,2,1,4,4,2,1,4,4,2,1,2,3,4,5,5,5,1,1,5,5,1,1,4,5,1,1,1,3,4,4
082174,82,174,2019-07-18 10:33:00,2,3,Sheep + Yellow Flower,Spanish,,True,1,4,2,5,3,Crow,Hippopotamus,4,7,3,6,4,4,2,2,4,3,2,1,4,3,2,1,3,3,4,3,5,4,1,2,4,4,2,2,4,4,2,2,1,3,4,4
030082,30,82,2019-07-18 11:44:00,3,2,Lighthouse + Boat,Spanish,,False,1,4,3,5,2,Squirell,Owl,4,4,4,6,4,4,3,2,3,4,3,2,4,4,4,2,2,3,3,3,3,4,2,3,3,3,2,3,4,4,4,2,2,3,4,3
030078,78,30,2019-07-18 13:00:00,3,1,Mansion,Spanish,,False,1,2,3,5,4,Donkey,Camel,1,4,2,5,4,4,1,2,3,3,1,2,4,4,1,3,2,2,4,4,4,3,1,3,3,3,1,2,4,4,1,2,2,2,4,4
078156,156,78,2019-07-18 14:33:00,1,1,Pencil & Sharpenner + Boat,Spanish,,False,1,4,3,5,2,Frog,Eagle,3,2,3,3,3,4,3,1,4,3,2,1,4,4,2,1,2,2,4,4,4,4,2,1,4,3,2,1,4,4,2,2,2,2,4,4
136175,175,136,2019-07-18 15:06:00,3,3,Lighthouse + Boat,English,,False,1,2,4,5,3,Gibbon,Flamingo,6,4,8,3,4,3,1,1,4,3,1,1,5,3,1,2,2,3,5,3,4,4,2,1,4,3,1,1,4,3,1,2,2,2,3,4
115175,115,175,2019-07-18 16:27:00,2,1,Minicar,English,,False,1,2,4,5,3,Rabbit,Turtle,5,8,6,9,4,4,2,1,4,4,4,1,4,4,2,1,2,2,4,4,4,4,2,1,4,4,2,1,4,4,2,1,2,2,2,4
171172,172,171,2019-07-18 20:39:00,3,3,Lighthouse + Boat,Spanish,,True,1,3,4,5,2,Anteater,Albatross,3,6,3,7,3,4,3,2,4,2,3,2,4,3,1,1,5,1,2,2,4,4,3,2,4,4,1,4,4,4,1,2,2,2,4,4
173176,173,176,2019-07-20 09:49:00,3,1,Mansion,Spanish,,True,1,4,2,5,3,Bear,Lion,3,4,3,2,4,4,2,2,4,4,2,1,4,4,2,2,4,2,2,4,4,5,2,1,5,5,2,1,4,5,2,1,3,1,3,5
144176,176,144,2019-07-20 11:10:00,3,2,Lighthouse + Boat,Spanish,,False,1,3,2,5,4,Goat,Deer,2,6,4,4,5,4,1,2,5,3,1,1,5,4,1,1,2,4,4,4,4,4,2,1,4,4,2,1,4,4,2,1,2,4,4,3
102176,102,176,2019-07-20 12:18:00,2,3,Whatever 1 + Whatever 2 + Minicar,Spanish,,False,1,2,4,5,3,Swallow,Toucan,4,4,6,6,4,4,2,2,3,4,1,2,3,4,1,2,1,2,3,4,4,4,1,2,4,4,1,2,4,4,1,2,1,1,4,5
